"class","term","week","subject","topic","agegroup","context","generated"
"Jss 2","Calvary Term","3","Business Studies","Buying and Selling: Cash and Credit","11-12","Understanding buying and selling transactions by cash and credit; calculating turnover, markup, and net profit","false"
"Jss 2","Calvary Term","4","Business Studies","Distribution and Channels of Distribution","11-12","Learning about distribution process and channels: producer/manufacturer, wholesaler, retailer, and consumer","false"
"Jss 2","Calvary Term","5","Business Studies","Functions of Distribution Channels","11-12","Understanding specific roles and functions of each agent in the distribution chain from producer to consumer","false"
"Jss 2","Calvary Term","6","Business Studies","Chemical Vendors and Safe Handling","11-12","Identifying licensed chemical vendors, safe handling and distribution of chemicals, and effects of wrong handling","false"
"Jss 2","Calvary Term","7","Business Studies","Commercial Banks and Banking Services","11-12","Defining commercial banks, understanding banking services like savings, loans, transfers, and ethical issues in banking","false"
"Jss 2","Calvary Term","8","Business Studies","Insurance: Services and Types","11-12","Understanding insurance services and types of policies: vehicle, fire, burglary, marine, life, pension, and health","false"
"Jss 2","Calvary Term","9","Business Studies","Benefits of Insurance","11-12","Learning about advantages of insurance coverage, risk management, and financial security for individuals and businesses","false"
"Jss 2","Calvary Term","10","Business Studies","Personal Qualities of an Entrepreneur","11-12","Identifying characteristics needed for entrepreneurship: creativity, risk-taking, determination, innovation, leadership","false"
"Jss 2","Summer Term","1","Business Studies","Business Opportunities: Local, National, International","11-12","Understanding and identifying business opportunities available at local, national, and international levels","false"
"Jss 2","Summer Term","2","Business Studies","Consumer Rights","11-12","Learning about the eight universal consumer rights, origin of consumerism, and protection of consumer interests","false"
"Jss 2","Summer Term","3","Business Studies","Consumer Responsibilities","11-12","Understanding duties and responsibilities of consumers in the marketplace including informed purchasing decisions","false"
"Jss 2","Summer Term","4","Business Studies","Shopping Tips: Needs vs Wants","11-12","Differentiating between needs and wants, making wise purchasing decisions, and avoiding impulse buying","false"
"Jss 2","Summer Term","5","Business Studies","Impulse Buying and After-Sales Services","11-12","Understanding effects of impulse buying and importance of after-sales services like warranty and installation","false"
"Jss 2","Summer Term","6","Business Studies","Transparency, Accountability and Probity (TAP)","11-12","Understanding TAP in business ethics, need for ethical practices, due process, and challenges of lack of TAP","false"
"Jss 2","Summer Term","7","Business Studies","Ledger and Ledger Entries","11-12","Learning about ledgers, items on ledger (date, particulars, folio, amount), recording cash receipts and payments","false"
"Jss 2","Summer Term","8","Business Studies","Discounts and Contra Entries in Ledger","11-12","Understanding how to record discount received, discount allowed, and making contra entries in ledger books","false"
"Jss 2","Summer Term","9","Business Studies","Petty Cash Book and Imprest System","11-12","Learning about petty cash book, its columns, recording small expenses, and understanding imprest system operation","false"
"Jss 2","Summer Term","10","Business Studies","Cash Book: Types and Preparation","11-12","Understanding cash book, types (single column, two column), recording cash and bank transactions, preparing cash book","false"
"Jss 2","Noel Term","1","Christian Religious Studies","The Annunciation of Jesus' Birth","11-12","Understanding prophecies from Isaiah and the angel's announcement to Mary about Jesus' birth (Luke 1:26-35)","false"
"Jss 2","Noel Term","2","Christian Religious Studies","The Birth of Jesus Christ","11-12","Narrating the nativity story in Bethlehem; Mary and Joseph's journey and Jesus being born in a manger","false"
"Jss 2","Noel Term","3","Christian Religious Studies","The Visit of the Wise Men","11-12","Studying the magi's visit to baby Jesus and the significance of their gifts: gold, frankincense, and myrrh","false"
"Jss 2","Noel Term","4","Christian Religious Studies","The Visit of the Shepherds","11-12","Understanding the angel's announcement to shepherds and their visit to worship the newborn Jesus","false"
"Jss 2","Noel Term","5","Christian Religious Studies","The Value of Virginity","11-12","Learning about Mary's virgin birth and the importance of sexual purity before marriage; consequences of premarital sex","false"
"Jss 2","Noel Term","6","Christian Religious Studies","Jesus and His Family","11-12","Identifying Jesus' siblings, Joseph's profession as a carpenter, and Jesus' obedience to His earthly parents","false"
"Jss 2","Noel Term","7","Christian Religious Studies","Jesus' Understanding of True Family","11-12","Understanding Jesus' teaching that those who do God's will are His true family (Matthew 12:46-50)","false"
"Jss 2","Noel Term","8","Christian Religious Studies","John the Baptist: Forerunner of Jesus","11-12","Learning about John's ministry, his preaching of repentance, and preparation for Jesus' coming (Mark 1:1-8)","false"
"Jss 2","Noel Term","9","Christian Religious Studies","The Baptism of Jesus","11-12","Understanding Jesus' baptism by John, the Holy Spirit descending like a dove, and God's voice from heaven","false"
"Jss 2","Noel Term","10","Christian Religious Studies","The Temptation of Jesus","11-12","Studying the three temptations by Satan in the wilderness and how Jesus overcame them using Scripture","false"
"Jss 2","Calvary Term","1","Christian Religious Studies","Significance of Jesus' Baptism and Temptation","11-12","Understanding why Jesus was baptized and tempted; relating these events to Christian commitment and overcoming sin","false"
"Jss 2","Calvary Term","2","Christian Religious Studies","Temptations in Nigeria Today","11-12","Identifying modern temptations like corruption, examination malpractice, cultism; learning ways to overcome them","false"
"Jss 2","Calvary Term","3","Christian Religious Studies","The Call of the First Four Disciples","11-12","Narrating how Jesus called Peter, Andrew, James, and John from their fishing boats to become fishers of men","false"
"Jss 2","Calvary Term","4","Christian Religious Studies","The Call of the Twelve Apostles","11-12","Learning the names of all twelve disciples and understanding their selection and commissioning by Jesus","false"
"Jss 2","Calvary Term","5","Christian Religious Studies","The Demands of Discipleship","11-12","Understanding the cost of following Jesus: forsaking all, taking up the cross, and putting God first (Luke 14:25-34)","false"
"Jss 2","Calvary Term","6","Christian Religious Studies","The Beatitudes","11-12","Studying and memorizing the nine beatitudes from the Sermon on the Mount (Matthew 5:1-12)","false"
"Jss 2","Calvary Term","7","Christian Religious Studies","Christians as Salt and Light","11-12","Understanding Jesus' teaching that Christians should be moral preservatives and illuminate the world by good works","false"
"Jss 2","Calvary Term","8","Christian Religious Studies","Jesus' Teaching on Forgiveness and Revenge","11-12","Learning Jesus' commands to forgive enemies, turn the other cheek, and love those who persecute us","false"
"Jss 2","Calvary Term","9","Christian Religious Studies","Jesus' Teaching on Prayer, Fasting, and Money","11-12","Understanding proper attitudes toward prayer, fasting, material wealth, and avoiding anxiety about provisions","false"
"Jss 2","Calvary Term","10","Christian Religious Studies","The Parables of Jesus: Meaning and Purpose","11-12","Understanding what parables are, why Jesus used them to teach spiritual truths through earthly stories","false"
"Jss 2","Summer Term","1","Christian Religious Studies","Parable of the Sower","11-12","Learning about different types of soil representing human hearts and their response to God's word (Matthew 13:1-23)","false"
"Jss 2","Summer Term","2","Christian Religious Studies","Parable of the Wheat and Tares","11-12","Understanding the coexistence of good and evil until judgment day; God's patience with sinners (Matthew 13:24-43)","false"
"Jss 2","Summer Term","3","Christian Religious Studies","Parables About God's Love for Sinners","11-12","Studying the Lost Sheep, Lost Coin, and Prodigal Son parables showing God's joy when sinners repent","false"
"Jss 2","Summer Term","4","Christian Religious Studies","The Triumphant Entry into Jerusalem","11-12","Narrating Jesus' entry on a donkey, crowds waving palm branches and shouting 'Hosanna' (Matthew 21:1-11)","false"
"Jss 2","Summer Term","5","Christian Religious Studies","The Last Supper","11-12","Understanding the institution of Holy Communion, Jesus washing disciples' feet, and predicting His betrayal","false"
"Jss 2","Summer Term","6","Christian Religious Studies","The Betrayal, Arrest, and Peter's Denial","11-12","Learning about Judas' betrayal with a kiss, Jesus' arrest, and Peter denying Jesus three times","false"
"Jss 2","Summer Term","7","Christian Religious Studies","The Trial of Jesus","11-12","Understanding Jesus' trials before Jewish and Roman authorities; false accusations and condemnation to death","false"
"Jss 2","Summer Term","8","Christian Religious Studies","The Crucifixion and Death of Jesus","11-12","Studying Jesus' suffering on the cross, the seven last words, and miraculous events at His death","false"
"Jss 2","Summer Term","9","Christian Religious Studies","The Burial of Jesus","11-12","Learning about Joseph of Arimathea requesting Jesus' body and burial in a new tomb with a sealed stone","false"
"Jss 2","Summer Term","10","Christian Religious Studies","The Resurrection and Appearances of Jesus","11-12","Understanding the empty tomb, Mary Magdalene's encounter, and Jesus' post-resurrection appearances to disciples","false"
"Jss 2","Noel Term","5","Computer Studies","Introduction to BASIC Programming","11-12","Learning what BASIC stands for (Beginners All-purpose Symbolic Instruction Code), understanding BASIC character set and key statements","false"
"Jss 2","Noel Term","9","Computer Studies","Computer and Internet Misuse","11-12","Identifying and understanding various ways computers and the internet can be misused or abused, and the consequences of such actions","false"
"Jss 2","Noel Term","1","English Language","Reading to Understand the Writer's Purpose","11-12","Learning to identify the author's intention in passages (to persuade, inform, convince, entertain, etc.) by recognizing key words and expressions that signal the writer's purpose, using passages on contemporary issues like HIV/AIDS, corruption, road safety","false"
"Jss 2","Noel Term","2","English Language","Reading for Word Meanings in Context","11-12","Using context clues from surrounding words, phrases, and sentences to figure out meanings of unfamiliar words, learning to identify alternative words that fit the context, and using prior knowledge to infer word meanings","false"
"Jss 2","Noel Term","3","English Language","Critical Reading - Facts and Opinions","11-12","Understanding critical reading as evaluating information presented, learning the steps (surveying, skimming, line-by-line reading, recalling, re-reading), and distinguishing between facts (verifiable statements) and opinions (personal beliefs) in passages","false"
"Jss 2","Noel Term","4","English Language","Reading for Speed","11-12","Learning conditions for speed reading including good eyesight, avoiding word vocalization, avoiding regressive reading, increasing eye span, reading phrases instead of words, and practicing techniques like surveying, scanning, and skimming","false"
"Jss 2","Noel Term","5","English Language","Reading for Summary - Identifying Key Ideas","11-12","Learning to identify topic sentences (main idea of paragraph), key ideas in different paragraphs, and words/expressions that signal main points in passages on national issues like unemployment, poverty, insecurity, religious conflicts","false"
"Jss 2","Noel Term","6","English Language","Writing an Outline","11-12","Learning to organize ideas before writing by identifying main and supporting ideas, arranging ideas in logical sequence, and writing appropriate introduction and conclusion for essays and passages on contemporary topics","false"
"Jss 2","Noel Term","7","English Language","Composition Writing - Types and Elements","11-12","Understanding different types of composition (narrative, descriptive, argumentative, expository), learning the elements of composition (pre-writing, writing, editing) with focus on introduction, body, and conclusion, especially expository and argumentative essays","false"
"Jss 2","Noel Term","8","English Language","Letter Writing - Formal and Informal","11-12","Learning the differences between formal letters (two addresses, formal salutation, specific format) and informal letters (one address, casual tone), understanding appropriate formats and conventions for different situations and purposes","false"
"Jss 2","Noel Term","9","English Language","Summary Writing - Consumer and Social Influence","11-12","Practicing summary writing skills using passages on consumer topics including roles of consumers in the market, factors influencing buying decisions, and types of consumer decision-making processes (impulse buying, routine response, rational buying)","false"
"Jss 2","Noel Term","10","English Language","Oral Comprehension - Listening Skills","11-12","Developing listening comprehension by identifying main ideas, key terms, writer's moods and intentions from speeches and materials on topics like family, discipline, infectious diseases, peace, examination malpractice, environment, and cultural practices","false"
"Jss 2","Calvary Term","1","English Language","Speeches - Intonation, Stress and Rhythm","11-12","Learning to identify and use correct intonation patterns in statements, questions, and commands, recognizing correct pause points in sentences, and identifying appropriate rhythm in poems on human rights, gender issues, value re-orientation, peace education","false"
"Jss 2","Calvary Term","2","English Language","Speeches - Question Tags","11-12","Understanding and using question tags correctly (e.g., 'isn't she?', 'isn't he?'), learning appropriate stress and intonation patterns when forming questions and their tags, and practicing responses to tag questions","false"
"Jss 2","Calvary Term","3","English Language","Revision of Sounds - Vowels and Consonants","11-12","Reviewing and practicing accurate pronunciation of all English vowel sounds (a, e, i, o, u) and consonant sounds (t, g, k, l, p, s, etc.) both in isolation and in context, including consonant clusters","false"
"Jss 2","Calvary Term","4","English Language","Parts of Speech - Nouns, Pronouns, Verbs, Adjectives","11-12","Identifying and understanding the features and functions of nouns (naming words), pronouns (replacement words), verbs (action/state words), and adjectives (describing words) in passages, and making correct sentences using these parts of speech","false"
"Jss 2","Calvary Term","5","English Language","Parts of Speech - Adverbs, Conjunctions, Prepositions","11-12","Learning to identify adverbs (modify verbs), conjunctions (joining words), and prepositions (position/relationship words) in passages on gender issues, population/family life, and peace, understanding their functions and making sentences with them","false"
"Jss 2","Calvary Term","6","English Language","Adverbials and Tenses","11-12","Understanding kinds of adverbials (reason, purpose, condition, contrast) and their use in sentences, learning to identify and use different tenses (present, past, future) correctly in context with passages on culture, human rights, indiscipline","false"
"Jss 2","Calvary Term","7","English Language","Active and Passive Verbs","11-12","Learning to identify active voice (subject performs action) and passive voice (subject receives action) in passages on conflict resolution, corruption, unemployment, and entrepreneurship, practicing conversion between active and passive forms","false"
"Jss 2","Calvary Term","8","English Language","Direct and Indirect Speech","11-12","Understanding the difference between direct speech (exact words spoken) and indirect/reported speech (paraphrased words), learning to convert statements, commands, and requests from direct to indirect speech and vice versa","false"
"Jss 2","Calvary Term","9","English Language","Prose - Short Stories and Novelettes","11-12","Reading and analyzing short stories and novelettes on climate change, road crashes, honesty and fair play, identifying types of prose (narrative, descriptive) and features like plot, characterization, setting, theme, language, and moral lessons","false"
"Jss 2","Calvary Term","10","English Language","Nigerian and African Folktales","11-12","Learning about features of folktales (didactic, entertaining, magical, riddles), retelling and explaining Nigerian and African folktales, identifying moral lessons, and understanding the cultural significance of oral storytelling traditions","false"
"Jss 2","Summer Term","1","English Language","Popular Myths and Legends","11-12","Studying African and non-African myths and legends, identifying their features (magic, supernatural, superstitious elements), understanding themes, learning moral lessons, and appreciating how myths explain natural phenomena and cultural beliefs","false"
"Jss 2","Summer Term","2","English Language","Poetry - Types and Language","11-12","Reading and analyzing different types of poems (narratives, ballads), understanding the unique language of poetry (concise, figurative, elevated), explaining meanings of poems, and writing simple poems using poetic techniques","false"
"Jss 2","Summer Term","3","English Language","Drama - Kinds and Features","11-12","Reading and dramatizing plays, identifying different kinds of drama and their features, understanding the message/theme of dramatic texts, recognizing essential props and costumes, and writing simple plays with proper dramatic structure","false"
"Jss 2","Summer Term","4","English Language","Figures of Speech - Irony and Hyperbole","11-12","Understanding irony (saying opposite of literal meaning for humorous effect) and hyperbole (deliberate exaggeration for emphasis), identifying these figures of speech in literature texts, and constructing sentences using irony and hyperbole correctly","false"
"Jss 2","Summer Term","5","English Language","Narrative Composition Writing","11-12","Developing skills in narrative writing by learning story structure (beginning, middle, end), character development, plot construction, use of dialogue, descriptive language, and creating engaging narratives on various topics and experiences","false"
"Jss 2","Summer Term","6","English Language","Descriptive Composition Writing","11-12","Learning techniques for descriptive writing including using sensory details (sight, sound, smell, taste, touch), vivid adjectives and adverbs, figurative language, and creating clear mental images for readers about people, places, objects, or events","false"
"Jss 2","Summer Term","7","English Language","Comprehension - Drawing Inferences","11-12","Developing higher-order reading skills by learning to make logical inferences, draw conclusions, predict outcomes, and understand implied meanings in passages beyond what is explicitly stated, using context and prior knowledge","false"
"Jss 2","Summer Term","8","English Language","Vocabulary Development - Synonyms and Antonyms","11-12","Expanding vocabulary by learning synonyms (words with similar meanings) and antonyms (words with opposite meanings), understanding how to use context to identify word relationships, and practicing word substitution to improve writing variety","false"
"Jss 2","Summer Term","9","English Language","Sentence Structure - Simple, Compound, Complex","11-12","Understanding different sentence types: simple sentences (one independent clause), compound sentences (two or more independent clauses joined by conjunctions), and complex sentences (independent clause with one or more dependent clauses)","false"
"Jss 2","Summer Term","10","English Language","Punctuation and Capitalization","11-12","Mastering the correct use of punctuation marks (period, comma, question mark, exclamation mark, apostrophe, quotation marks, colon, semicolon) and capitalization rules in writing to ensure clarity, proper sentence structure, and grammatical accuracy","false"
"Jss 2","Noel Term","1","General Mathematics","Standard Form: Whole Numbers","11-12","Expressing whole numbers in standard form using the format a × 10ⁿ where 1 ≤ a < 10 and n ≥ 0","false"
"Jss 2","Noel Term","2","General Mathematics","Standard Form: Decimal Numbers","11-12","Expressing decimal numbers in standard form using the format a × 10ⁿ where 1 ≤ a < 10 and n ≤ 0","false"
"Jss 2","Noel Term","3","General Mathematics","Prime Factors and Prime Factorization","11-12","Finding prime factors of numbers not greater than 200; expressing numbers as products of prime factors","false"
"Jss 2","Noel Term","4","General Mathematics","LCM and HCF","11-12","Finding the Least Common Multiple and Highest Common Factor of given numbers using various methods","false"
"Jss 2","Noel Term","5","General Mathematics","Squares and Square Roots","11-12","Identifying perfect squares; finding squares of numbers and square roots using factor method and tables","false"
"Jss 2","Noel Term","6","General Mathematics","Fractions, Ratios, Decimals and Percentages","11-12","Converting between fractions, ratios, decimals, and percentages; understanding their relationships","false"
"Jss 2","Noel Term","7","General Mathematics","Household and Office Arithmetic","11-12","Solving practical problems involving electricity bills, water rates, and family budgets","false"
"Jss 2","Noel Term","8","General Mathematics","Commercial Arithmetic","11-12","Solving problems on profit, loss, simple interest, discount, and commission in business transactions","false"
"Jss 2","Noel Term","9","General Mathematics","Approximation: Decimal Places","11-12","Rounding numbers to given decimal places; understanding accuracy and precision in calculations","false"
"Jss 2","Noel Term","10","General Mathematics","Approximation: Significant Figures","11-12","Rounding numbers to required significant figures; applying approximation to real-life situations","false"
"Jss 2","Calvary Term","1","General Mathematics","Using Mathematical Tables","11-12","Using square and square root tables to find squares and square roots of numbers quickly","false"
"Jss 2","Calvary Term","2","General Mathematics","Charts, Records and Schedules","11-12","Interpreting and using distance charts, flight schedules, timetables, and other statistical records","false"
"Jss 2","Calvary Term","3","General Mathematics","Multiplication and Division of Directed Numbers","11-12","Understanding rules for multiplying and dividing positive and negative numbers (integers)","false"
"Jss 2","Calvary Term","4","General Mathematics","Expansion of Algebraic Expressions","11-12","Expanding expressions like a(b+c) and (a+b)(c+d) using distributive property","false"
"Jss 2","Calvary Term","5","General Mathematics","Factorization of Algebraic Expressions","11-12","Factorizing simple algebraic expressions; finding common factors and grouping terms","false"
"Jss 2","Calvary Term","6","General Mathematics","Quadratic Expressions: Expansion and Factorization","11-12","Using quadratic equation box to expand and factorize expressions of the form (x+a)(x+b)","false"
"Jss 2","Calvary Term","7","General Mathematics","Algebraic Fractions","11-12","Simplifying algebraic expressions with monomial denominators; solving word problems with algebraic fractions","false"
"Jss 2","Calvary Term","8","General Mathematics","Simple Equations","11-12","Solving linear equations in one variable; finding unknown values in equations like 3n - 4 = 2n + 1","false"
"Jss 2","Calvary Term","9","General Mathematics","Linear Inequalities in One Variable","11-12","Identifying, solving, and representing linear inequalities on number lines; understanding inequality symbols","false"
"Jss 2","Calvary Term","10","General Mathematics","Word Problems: Inequalities","11-12","Interpreting and solving real-life word problems that involve linear inequalities in one variable","false"
"Jss 2","Summer Term","1","General Mathematics","Cartesian Plane and Plotting Points","11-12","Identifying x-axis and y-axis; plotting points using coordinates on the Cartesian coordinate system","false"
"Jss 2","Summer Term","2","General Mathematics","Graphs of Linear Equations","11-12","Preparing tables of values and plotting graphs of linear equations in two variables","false"
"Jss 2","Summer Term","3","General Mathematics","Linear Graphs from Real-Life Situations","11-12","Plotting and interpreting distance-time graphs, velocity-time graphs, and item-price graphs","false"
"Jss 2","Summer Term","4","General Mathematics","Properties of Plane Shapes","11-12","Studying properties of parallelogram, rhombus, and kite; identifying these shapes in the environment","false"
"Jss 2","Summer Term","5","General Mathematics","Scale Drawing","11-12","Drawing objects to scale; converting between actual length and scale measurements for practical applications","false"
"Jss 2","Summer Term","6","General Mathematics","Angles: Sum in Polygons","11-12","Finding sum of angles in triangles, quadrilaterals, and n-sided polygons using the formula 2n-4 right angles","false"
"Jss 2","Summer Term","7","General Mathematics","Angles of Elevation and Depression","11-12","Understanding and using angles of elevation and depression to calculate heights and distances","false"
"Jss 2","Summer Term","8","General Mathematics","Bearing and Navigation","11-12","Using cardinal points, 3-digit bearing, and compass bearing to locate positions and find distances","false"
"Jss 2","Summer Term","9","General Mathematics","Construction of Triangles and Angle Bisection","11-12","Constructing triangles using ruler and compass; bisecting angles using geometric construction methods","false"
"Jss 2","Summer Term","10","General Mathematics","Data Presentation and Probability","11-12","Organizing data in frequency tables, drawing pie charts, and calculating probability of chance events","false"
"Jss 2","Noel Term","1","Home Economics","Family Resources: Meaning and Types","11-12","Understanding what family resources are and identifying different types: human, material, time, energy, and money","false"
"Jss 2","Noel Term","2","Home Economics","Importance of Family Resources","11-12","Learning why family resources are important and how they contribute to family wellbeing and development","false"
"Jss 2","Noel Term","3","Home Economics","Decision Making: Meaning and Process","11-12","Understanding what decision making is and learning the systematic steps involved in making good decisions","false"
"Jss 2","Noel Term","4","Home Economics","Steps in Decision Making","11-12","Practicing the steps: identifying the problem, gathering information, considering alternatives, making choice, and evaluating results","false"
"Jss 2","Noel Term","5","Home Economics","Personal and Family Decisions","11-12","Making simple personal decisions and understanding common family decisions using decision-making steps learned","false"
"Jss 2","Noel Term","6","Home Economics","Household Linen: Types and Selection","11-12","Identifying types of household linen (bedsheets, towels, tablecloths) and factors for selecting quality linen","false"
"Jss 2","Noel Term","7","Home Economics","Maintenance of Household Linen","11-12","Learning proper procedures for washing, ironing, storing, and maintaining different types of household linen","false"
"Jss 2","Noel Term","8","Home Economics","Clothing Storage Methods","11-12","Understanding different methods of storing family clothing: hanging, folding, and using storage containers properly","false"
"Jss 2","Noel Term","9","Home Economics","Simple Clothing Repairs","11-12","Learning basic clothing repairs: sewing loose buttons, mending torn garments, fixing hems, and patching holes","false"
"Jss 2","Noel Term","10","Home Economics","Care of Family Clothing","11-12","Understanding proper washing, ironing, and storage techniques to maintain clothing quality and longevity","false"
"Jss 2","Calvary Term","1","Home Economics","Pattern Drafting and Fashion Designing","11-12","Understanding the meaning of pattern drafting and fashion designing; their importance in clothing construction","false"
"Jss 2","Calvary Term","2","Home Economics","Pattern Drafting Tools and Equipment","11-12","Identifying tools: tape measure, ruler, pencil, French curve, tracing wheel, dressmaker's carbon, brown paper","false"
"Jss 2","Calvary Term","3","Home Economics","Body Measurements for Pattern Drafting","11-12","Learning parts of the body to be measured: bust, waist, hip, shoulder, back length, and sleeve length","false"
"Jss 2","Calvary Term","4","Home Economics","Taking Accurate Body Measurements","11-12","Practicing proper techniques for taking body measurements accurately for pattern drafting purposes","false"
"Jss 2","Calvary Term","5","Home Economics","Drafting Basic Bodice Pattern","11-12","Learning step-by-step instructions for drafting basic bodice pattern using personal measurements","false"
"Jss 2","Calvary Term","6","Home Economics","Drafting Basic Skirt Pattern","11-12","Understanding and practicing drafting basic skirt pattern (straight skirt) using body measurements","false"
"Jss 2","Calvary Term","7","Home Economics","Adapting Basic Patterns to Different Styles","11-12","Learning how to modify basic bodice and skirt blocks to create different fashion styles and designs","false"
"Jss 2","Calvary Term","8","Home Economics","Sketching Fashion Styles","11-12","Practicing sketching different clothing styles based on fashion trends and personal preferences","false"
"Jss 2","Calvary Term","9","Home Economics","Pattern Layout and Cutting","11-12","Understanding how to lay out pattern pieces on fabric efficiently and cutting fabric accurately","false"
"Jss 2","Calvary Term","10","Home Economics","Fashion Design Applications","11-12","Integrating pattern drafting skills with creative fashion design to produce original clothing designs","false"
"Jss 2","Summer Term","1","Home Economics","Food Purchasing and Wise Buying","11-12","Understanding food purchasing principles and wise buying practices to get quality food at reasonable prices","false"
"Jss 2","Summer Term","2","Home Economics","Factors to Consider When Buying Food","11-12","Learning to consider quality, price, nutritional value, packaging, expiry dates when purchasing food items","false"
"Jss 2","Summer Term","3","Home Economics","Risk Factors in Food Purchasing","11-12","Identifying risks when buying food: expired products, contamination, poor storage, and how to reduce these risks","false"
"Jss 2","Summer Term","4","Home Economics","Perishable and Non-Perishable Foods","11-12","Differentiating between perishable foods (fruits, vegetables, meat) and non-perishable foods (rice, beans, canned goods)","false"
"Jss 2","Summer Term","5","Home Economics","Food Processing Methods","11-12","Understanding food processing techniques: milling, fermentation, smoking, roasting, and their effects on food","false"
"Jss 2","Summer Term","6","Home Economics","Food Preservation: Reasons and Methods","11-12","Learning why food preservation is important and methods like freezing, sun-drying, salting, smoking, canning","false"
"Jss 2","Summer Term","7","Home Economics","Preservation of Perishable Foods","11-12","Practicing preservation methods for fruits, vegetables, fish, and meat to extend shelf life and prevent spoilage","false"
"Jss 2","Summer Term","8","Home Economics","Food Storage Techniques","11-12","Understanding proper storage methods for different food types: refrigeration, dry storage, cool storage","false"
"Jss 2","Summer Term","9","Home Economics","Food Safety and Labeling","11-12","Learning how to keep food safe through proper handling, hygiene, labeling containers, and checking expiry dates","false"
"Jss 2","Summer Term","10","Home Economics","Practical Food Preservation Project","11-12","Applying learned skills to preserve food items: making dried fruits, salted fish, or fermented foods as projects","false"
"Jss 2","Noel Term","1","Physical and Health Education","Posture: Meaning and Types","11-12","Understanding proper posture in sitting, standing, walking, and lifting; importance of good posture for health","false"
"Jss 2","Noel Term","2","Physical and Health Education","Postural Defects","11-12","Identifying postural defects like kyphosis, lordosis, scoliosis, flat feet, and bow legs; their characteristics","false"
"Jss 2","Noel Term","3","Physical and Health Education","Causes and Prevention of Postural Defects","11-12","Understanding how poor nutrition, lack of exercise, and bad habits cause postural problems; corrective measures","false"
"Jss 2","Noel Term","4","Physical and Health Education","Issues and Challenges in Physical and Health Education","11-12","Exploring current problems and obstacles affecting physical and health education in schools and communities","false"
"Jss 2","Noel Term","5","Physical and Health Education","Human Trafficking and Health Implications","11-12","Understanding human trafficking, its health effects on victims, causes, and prevention strategies","false"
"Jss 2","Noel Term","6","Physical and Health Education","Sports Laws and Legal Liability","11-12","Learning about negligence, tort, legal liability, and assault in sports; understanding sports regulations","false"
"Jss 2","Noel Term","7","Physical and Health Education","Indoor and Outdoor Recreational Activities","11-12","Differentiating between indoor activities (ludo, table tennis) and outdoor activities (soccer, athletics)","false"
"Jss 2","Noel Term","8","Physical and Health Education","Dramatic and Creative Rhythms","11-12","Understanding and performing gymnastics, aerobics, and creative movement activities","false"
"Jss 2","Noel Term","9","Physical and Health Education","Dance Activities and Cultural Dances","11-12","Learning and demonstrating traditional dances like bata, mkpokiti, atilogwu, koroso, and ekombi","false"
"Jss 2","Noel Term","10","Physical and Health Education","Computer Games as Leisure Activities","11-12","Exploring different types of computer games and their role in recreation and entertainment","false"
"Jss 2","Calvary Term","1","Physical and Health Education","Table Tennis: Basic Skills and Techniques","11-12","Learning grip, service, drive, chop, and smash techniques in table tennis; practicing rallies","false"
"Jss 2","Calvary Term","2","Physical and Health Education","Table Tennis: Rules and Regulations","11-12","Understanding scoring system, game rules, equipment, facilities, and officials in table tennis","false"
"Jss 2","Calvary Term","3","Physical and Health Education","Lawn Tennis: Basic Skills and Techniques","11-12","Learning fundamental strokes, serves, and techniques in lawn tennis; court positioning","false"
"Jss 2","Calvary Term","4","Physical and Health Education","Lawn Tennis: Rules, Equipment and Officials","11-12","Understanding tennis court dimensions, scoring, match play rules, and roles of officials","false"
"Jss 2","Calvary Term","5","Physical and Health Education","Accidents and Injuries: Definition and Types","11-12","Understanding what constitutes accidents and injuries; differentiating between sports, domestic, and road accidents","false"
"Jss 2","Calvary Term","6","Physical and Health Education","Sports Injuries and First Aid Treatment","11-12","Identifying common sports injuries like sprains, muscle pulls, wounds, dislocations; applying first aid","false"
"Jss 2","Calvary Term","7","Physical and Health Education","Domestic Accidents and Prevention","11-12","Understanding causes of home accidents; first aid treatment and safety measures at home","false"
"Jss 2","Calvary Term","8","Physical and Health Education","Road Traffic Accidents and Safety Measures","11-12","Learning about road safety, causes of road accidents, first aid treatment, and preventive measures","false"
"Jss 2","Calvary Term","9","Physical and Health Education","Safety Education: Home, School, and Sports Ground","11-12","Understanding safety principles and measures to prevent accidents in different environments","false"
"Jss 2","Calvary Term","10","Physical and Health Education","First Aid Box and Basic Treatment Procedures","11-12","Learning contents of first aid box; practicing basic first aid like stopping bleeding and binding wounds","false"
"Jss 2","Summer Term","1","Physical and Health Education","School Health Programme: Meaning and Components","11-12","Understanding skill-based health education, school health services, and healthful school environment","false"
"Jss 2","Summer Term","2","Physical and Health Education","School Feeding Services and Community Relations","11-12","Exploring importance of school feeding programmes and school-home-community health partnerships","false"
"Jss 2","Summer Term","3","Physical and Health Education","FRESH Approach to School Health","11-12","Learning Focusing Resources on Effective School Health initiatives and programmes","false"
"Jss 2","Summer Term","4","Physical and Health Education","Environmental Pollution: Types and Sources","11-12","Identifying air, water, land, and noise pollution; understanding their sources and causes","false"
"Jss 2","Summer Term","5","Physical and Health Education","Effects of Environmental Pollution","11-12","Understanding how pollution affects personal health, community health, and the environment","false"
