class,term,week,subject,topic,agegroup
Year 2,Summer Term,2,Agricultural Science,"Food processing: meaning, stages of food processing, importance of food processing",6-7
Year 2,Summer Term,3,Agricultural Science,"Life cycle of plants: meaning of life cycle, different life cycle of plants, their meaning and time",6-7
Year 2,Summer Term,4,Agricultural Science,"Farm insects- definition of farm insect, examples of useful farm insect ( butterflies, bees, termites, praying mantis), usefulness of insects",6-7
Year 2,Summer Term,5,Agricultural Science,"Rodents -- meaning and description of rodent, examples of rodents",6-7
Year 2,Summer Term,6,Agricultural Science,"Method of controlling rodents: shooting, trapping, poisoning, proper storage",6-7
Year 2,Summer Term,7,Agricultural Science,"Farmer's friend ( earthworm): meaning of farmer's friend, usefulness of farmer's friend",6-7
Year 2,Summer Term,8,Agricultural Science,Harmful insects: definition and examples,6-7
Year 2,Summer Term,9,Agricultural Science,"Useful but harmful insects: examples of harmful insects e.g ants, bees, termites, damages caused by harmful insects",6-7
Year 3,Summer Term,1,Agricultural Science,"Soil: meaning, types, properties and importance of each type",7-8
Year 3,Summer Term,2,Agricultural Science,"Soil fertility: meaning, ways of improving soil fertility and importance of soil fertility",7-8
Year 3,Summer Term,3,Agricultural Science,Soil texture: meaning and importance of soil texture,7-8
Year 3,Summer Term,4,Agricultural Science,Soil structure: meaning and importance,7-8
Year 3,Summer Term,5,Agricultural Science,Soil profile: meaning and importance,7-8
Year 3,Summer Term,6,Agricultural Science,"Agriculture: meaning, types and importance",7-8
Year 3,Summer Term,7,Agricultural Science,"Branches of agriculture: crop production, livestock/ animals",7-8
Year 3,Summer Term,8,Agricultural Science,"Agricultural tools: meaning, types and examples",7-8
Year 3,Summer Term,9,Agricultural Science,Maintenance of agricultural tools,7-8
Year 4,Summer Term,1,Agricultural Science,"Concept of farm animals/livestock production: meaning, basic requirements for livestock production, types of animal housing, the need of young animals",8-9
Year 4,Summer Term,2,Agricultural Science,"Concept of farm animals -- procedure or steps in rearing farm animals, bye-product from farm animals",8-9
Year 4,Summer Term,3,Agricultural Science,"Agricultural tools and equipment: meaning, classification and maintenance",8-9
Year 4,Summer Term,4,Agricultural Science,"Diseases of farm animals: meaning, examples and control",8-9
Year 4,Summer Term,5,Agricultural Science,"Parasite: meaning, types, control and economic importance",8-9
Year 4,Summer Term,6,Agricultural Science,"Crop pest: meaning, types, control and economic importance",8-9
Year 4,Summer Term,7,Agricultural Science,"Fishery: meaning, types, control and economic importance",8-9
Year 4,Summer Term,8,Agricultural Science,"Vaccination: meaning, types and importance",8-9
Year 4,Summer Term,9,Agricultural Science,Forestry,8-9
Year 5,Summer Term,1,Agricultural Science,"Agricultural marketing -- meaning of market and marketing of agricultural produce, agricultural marketing activities, types of marketing for agricultural produce",9-10
Year 5,Summer Term,2,Agricultural Science,"Farm records: meaning, types and uses of farm records",9-10
Year 5,Summer Term,3,Agricultural Science,"Farm records: records keeping, daily farm activities and events, purchase and sales in the farm",9-10
Year 5,Summer Term,4,Agricultural Science,"Irrigation: meaning, types and importance",9-10
Year 5,Summer Term,5,Agricultural Science,"Storage and processing: meaning, reasons, facilities and importance",9-10
Year 5,Summer Term,6,Agricultural Science,Forestry and wildlife conservation,9-10
Year 5,Summer Term,7,Agricultural Science,"Agricultural policies in Nigeria,: OFN, SAP",9-10
Year 5,Summer Term,8,Agricultural Science,"Agricultural institute in Nigeria: FRIN, CRIN, IITA, NSPRI",9-10
Year 5,Summer Term,9,Agricultural Science,Agricultural technology,9-10
Year 1,Summer Term,1,Computer Studies,"Common devices -- laptop , tab calculator, wrist watch, palmtop and phones",5-6
Year 1,Summer Term,2,Computer Studies,"Smart phones -- meaning , parts, uses,( how smart are smart phones)",5-6
Year 1,Summer Term,3,Computer Studies,Part of a mobile phone: examples and how it works,5-6
Year 1,Summer Term,4,Computer Studies,How mouthpiece and earpiece works,5-6
Year 1,Summer Term,5,Computer Studies,"Basic steps in using a Computer Studies -- meaning of booting, how to switch/turn on a Computer Studies",5-6
Year 1,Summer Term,6,Computer Studies,"Common IT devices -- fax my, printer, scanner, light pen",5-6
Year 1,Summer Term,7,Computer Studies,"Radio and television: meaning, uses, types and how it operates",5-6
Year 1,Summer Term,8,Computer Studies,"Liquid dispenser -- water dispenser, fuel pumps",5-6
Year 1,Summer Term,9,Computer Studies,A. T. M,5-6
Year 2,Summer Term,1,Computer Studies,Storage devices in Computer Studies: meaning and why Computer Studies needs storage devices,6-7
Year 2,Summer Term,2,Computer Studies,Types of storage devices,6-7
Year 2,Summer Term,3,Computer Studies,The usefulness of storage devices in Computer Studies,6-7
Year 2,Summer Term,4,Computer Studies,System unit: meaning and components,6-7
Year 2,Summer Term,5,Computer Studies,"C.P.U: meaning, parts and components",6-7
Year 2,Summer Term,6,Computer Studies,"Disk drive: meaning, types and uses; do's and don't when using disk drive",6-7
Year 2,Summer Term,7,Computer Studies,Information technology: meaning and importance,6-7
Year 2,Summer Term,8,Computer Studies,Information technology devices -- types and uses of IT devices,6-7
Year 2,Summer Term,9,Computer Studies,"Computer Studies abbreviation e.g WWW, http, RAM, ROM, CPU, GIGO, CD, DVD",6-7
Year 3,Summer Term,1,Computer Studies,"Social media: meaning, various platform of social media ( Facebook, website, WhatsApp, Instagram) importance",7-8
Year 3,Summer Term,2,Computer Studies,"Components of a system units: meaning of disk drive, types of disk drive ( floppy disk, hard disk, C.D, ROM), do's and don't of using a disk drive",7-8
Year 3,Summer Term,3,Computer Studies,"Storage devices: meaning, types of Computer Studies storage devices -- digital or versatile disk, Read only memory",7-8
Year 3,Summer Term,4,Computer Studies,Booting in Computer Studies: meaning and types of booting ( cold and warm booting),7-8
Year 3,Summer Term,5,Computer Studies,"Computer Studies icons: discovering Computer Studies icons, common icons, Computer Studies desktop and practical",7-8
Year 3,Summer Term,6,Computer Studies,The recycle bin: meaning and features of a recycle bin,7-8
Year 3,Summer Term,7,Computer Studies,"Floppy disk: identification, description of the floppy diskette and types of diskette",7-8
Year 3,Summer Term,8,Computer Studies,Introduction to word processing programs: meaning and examples of word processing,7-8
Year 3,Summer Term,9,Computer Studies,Practical,7-8
Year 4,Summer Term,1,Computer Studies,"Internet: meaning of internet, parts of internet",8-9
Year 4,Summer Term,2,Computer Studies,"Internet browser: meaning, uses of internet browser, Identification of internet browser",8-9
Year 4,Summer Term,3,Computer Studies,Creating a yahoo E-mail account: Gmail,8-9
Year 4,Summer Term,4,Computer Studies,Uses of internet and benefits of internet,8-9
Year 4,Summer Term,5,Computer Studies,"Misuse of internet: abuse of internet, effects of abuse of internet in the society",8-9
Year 4,Summer Term,6,Computer Studies,Sending and receiving emails: practice sending and receiving emails; email addresses,8-9
Year 4,Summer Term,7,Computer Studies,Reasons for taking care of Computer Studies,8-9
Year 4,Summer Term,8,Computer Studies,Computer Studies users ( human),8-9
Year 4,Summer Term,9,Computer Studies,"The three technologies in the web: HTML, URL, HTTP, who invented the web? ( Tim Berners-Lee in the year 1989)",8-9
Year 5,Summer Term,1,Computer Studies,"IT gadgets -- meaning, classification and examples",9-10
Year 5,Summer Term,2,Computer Studies,IT gadgets -- uses and operation of IT gadget,9-10
Year 5,Summer Term,3,Computer Studies,"Search engines -- meaning, types and uses",9-10
Year 5,Summer Term,4,Computer Studies,"Social networking -- meaning, types and importance",9-10
Year 5,Summer Term,5,Computer Studies,"Understanding cyber bullying -- meaning of internet, cyber bullying, abuse of internet",9-10
Year 5,Summer Term,6,Computer Studies,Cyber security -- meaning and,9-10
Year 5,Summer Term,7,Computer Studies,"IT and society -- meaning, small and large scale application of Computer Studies, misconception of IT, career opportunities",9-10
Year 5,Summer Term,8,Computer Studies,"Computer Studies language: meaning, uses and examples",9-10
Year 5,Summer Term,9,Computer Studies,Introduction of forensic,9-10
Year 1,Summer Term,1,Geography,"Environment -- meaning , beautifying and importance",5-6
Year 1,Summer Term,2,Geography,"Weather -- meaning , types/seasons, effects of each weather",5-6
Year 1,Summer Term,3,Geography,Countries and their weather,5-6
Year 1,Summer Term,4,Geography,"Pollution ( water, air, land ): meaning, types",5-6
Year 1,Summer Term,5,Geography,"Bush burning: meaning, advantages and disadvantages",5-6
Year 1,Summer Term,6,Geography,"Flood -- meaning , causes, effects and solutions",5-6
Year 1,Summer Term,7,Geography,African countries and their capitals,5-6
Year 1,Summer Term,8,Geography,Seasons around the world,5-6
Year 1,Summer Term,9,Geography,Notable dates around the world,5-6
Year 2,Summer Term,1,Geography,"Weather: meaning, types and seasons of the year",6-7
Year 2,Summer Term,2,Geography,Climate change and its effects,6-7
Year 2,Summer Term,3,Geography,Population: meaning and importance,6-7
Year 2,Summer Term,4,Geography,Population census: meaning and types,6-7
Year 2,Summer Term,5,Geography,Earth: the earth surface and the ozone layer,6-7
Year 2,Summer Term,6,Geography,Famine: meaning and effects,6-7
Year 2,Summer Term,7,Geography,Continents of the world,6-7
Year 2,Summer Term,8,Geography,West Africa countries: names of countries and their capitals,6-7
Year 2,Summer Term,9,Geography,Excursion,6-7
Year 3,Summer Term,1,Geography,"Overviews of Africa: African countries and capitals ( Anglophone, Francophone)",7-8
Year 3,Summer Term,2,Geography,"Natural disasters and man made disasters: meaning of natural and man made disasters, famine and drought",7-8
Year 3,Summer Term,3,Geography,The rain forest,7-8
Year 3,Summer Term,4,Geography,The four seasons,7-8
Year 3,Summer Term,5,Geography,"Important rivers, lakes, highlands in Africa: examples of rivers, highlands and lakes",7-8
Year 3,Summer Term,6,Geography,Ozone layer,7-8
Year 3,Summer Term,7,Geography,Major projects on a paper machine map of Africa,7-8
Year 3,Summer Term,8,Geography,Organic farming: meaning of organic farming,7-8
Year 4,Summer Term,1,Geography,"Weather and climate: attributes of the weather, seasons in Nigeria, seasons around the world",8-9
Year 4,Summer Term,2,Geography,"Natural and man made disasters: meaning, types, causes of natural disasters",8-9
Year 4,Summer Term,3,Geography,"Nigerian Armed forces: Nigerian army, Navy and Air force",8-9
Year 4,Summer Term,4,Geography,"Voluntary organization; red cross, man o war, boy scout, boys brigade, rotary",8-9
Year 4,Summer Term,5,Geography,"Security agencies in Nigeria: NPF, FRSC, NSDC, fire service, EFCC, ICPC",8-9
Year 4,Summer Term,6,Geography,"Locating the national headquarters of the security agencies in Nigeria such as FRSC, ICPC, fire service commission, EFCC, NPF",8-9
Year 4,Summer Term,7,Geography,Tourism sites in Nigeria,8-9
Year 4,Summer Term,8,Geography,The early explorers and path finders,8-9
Year 4,Summer Term,9,Geography,The Boers,8-9
Year 5,Summer Term,1,Geography,The solar system: meaning and components,9-10
Year 5,Summer Term,2,Geography,"The movements of the earth- rotation and revolution of the earth, solar and lunar eclipse",9-10
Year 5,Summer Term,3,Geography,"Environmental problem- erosion, flooding, draught, hurricane, tsunami, tornado and earthquake",9-10
Year 5,Summer Term,4,Geography,"ECOWAS- meaning, members, and objectives; ECOMOG",9-10
Year 5,Summer Term,5,Geography,"Tourism in Nigeria: meaning, major tourist centers in Nigeria, economic importance of tourism in Nigeria",9-10
Year 5,Summer Term,6,Geography,"Terrorism: meaning, causes and effects",9-10
Year 5,Summer Term,7,Geography,Land transportation,9-10
Year 5,Summer Term,8,Geography,Communication: modern means of communication,9-10
Year 5,Summer Term,9,Geography,Some inventors and their discoveries,9-10
Year 1,Summer Term,1,Christian Religious Knowledge,Abraham -- God's promise to Abraham and the fulfilment,5-6
Year 1,Summer Term,2,Christian Religious Knowledge,Who is a Christian and how to become a Christian?,5-6
Year 1,Summer Term,3,Christian Religious Knowledge,What a Christian does and what a Christian should not do,5-6
Year 1,Summer Term,4,Christian Religious Knowledge,God our father -- the joy of having God as our father,5-6
Year 1,Summer Term,5,Christian Religious Knowledge,Talking to God in prayer,5-6
Year 1,Summer Term,6,Christian Religious Knowledge,How Christians should relate with other people,5-6
Year 1,Summer Term,7,Christian Religious Knowledge,Benefits of relating with God,5-6
Year 1,Summer Term,8,Christian Religious Knowledge,Sharing with one another,5-6
Year 1,Summer Term,9,Christian Religious Knowledge,Thanking God our father,5-6
Year 2,Summer Term,1,Christian Religious Knowledge,"Jesus teaches us how to behave -- Luke 16:19-31, 10:25-37, Matthew 21:28-31",6-7
Year 2,Summer Term,2,Christian Religious Knowledge,"God creates everything ( the creation) -- Genesis 1:1-31, 2:2-11",6-7
Year 2,Summer Term,3,Christian Religious Knowledge,"God creates nation ( the call of Abraham) -- Genesis 12:1-19, 17:1-8, 17:15-21",6-7
Year 2,Summer Term,4,Christian Religious Knowledge,"The person of Jacob: the birth, relationship between Jacob and Esau, his dream at bethel , the sons of Jacob -- Gen 25:21-34, 28:10-22",6-7
Year 2,Summer Term,5,Christian Religious Knowledge,"Joseph in Egypt: Joseph in prison -- Gen 37:1-38, 39:1-23, 41:39-46",6-7
Year 2,Summer Term,6,Christian Religious Knowledge,"Joseph: his relationship with his family, his dreams -- Gen 37:1-38",6-7
Year 2,Summer Term,7,Christian Religious Knowledge,"Moses the liberator -- Exodus 1:12-18, 2:1-22, 3:2-6",6-7
Year 2,Summer Term,8,Christian Religious Knowledge,"Judges as leaders -- judges 4,5,6 and 7, 1samuel 7:7-16",6-7
Year 2,Summer Term,9,Christian Religious Knowledge,"Saul and David as leaders in Israel -- 1 Samuel 10,15,16,17",6-7
Year 3,Summer Term,1,Christian Religious Knowledge,"Showing hospitality: the need for being hospitable -- Gen 18:1-6, 1 Kings,17:8-16, Luke 10:30, Roman 12:13, Hebrew 13:2",7-8
Year 3,Summer Term,2,Christian Religious Knowledge,"Showing love and unselfishness: our moral responsibilities -- showing unselfish love to others. The love between Jonathan and David -- 1 Samuel 18:1-13, 25:15-17",7-8
Year 3,Summer Term,3,Christian Religious Knowledge,"Showing desire for peaceful coexistence -- Gen 13:1-8, Matthew 5:21-25, Gen 31:1-11",7-8
Year 3,Summer Term,4,Christian Religious Knowledge,Forbearance and understanding -- Gen 26:17-23,7-8
Year 3,Summer Term,5,Christian Religious Knowledge,"Kindness in action -- Ruth 1:22, 2:1-2, Luke 20:25-35",7-8
Year 3,Summer Term,6,Christian Religious Knowledge,Helping people in trouble -- Luke 10:30-37,7-8
Year 3,Summer Term,7,Christian Religious Knowledge,"The blessedness of peace -- Makers -- Matthew 5:19, Acts 9:26-31, Philemon 4:21",7-8
Year 3,Summer Term,8,Christian Religious Knowledge,"Turning enemies to friends: Isaac in the face of provocation Gen 26:17-23, tolerance and love - proverbs 16:7",7-8
Year 3,Summer Term,9,Christian Religious Knowledge,Identifying reasons for having peace,7-8
Year 4,Summer Term,1,Christian Religious Knowledge,"Jesus is with us -- Psalm 121, Matthew 28:20, John 15:1-17, reasons why Jesus is with us",8-9
Year 4,Summer Term,2,Christian Religious Knowledge,"Using our God given gift: meaning of gift, reasons why God gave us gift, how to use our God given gift",8-9
Year 4,Summer Term,3,Christian Religious Knowledge,"Christ gives us a new life -- Galatians 5:22-26, Act 16:31-34",8-9
Year 4,Summer Term,4,Christian Religious Knowledge,"Christ at work in our homes -- Revelation 3:20, Luke 19:5-10, Mark 1:19-32",8-9
Year 4,Summer Term,5,Christian Religious Knowledge,"Gift and talents are given by God to each person differently: definition of gift and talents, how God give gifts and talents to everyone, how to discover your gift and talents",8-9
Year 4,Summer Term,6,Christian Religious Knowledge,"The purpose of gift and talents: for his glory to manifest, they are as important as our spiritual gifts",8-9
Year 4,Summer Term,7,Christian Religious Knowledge,"Parable of talent: definition, how to make use of our talents wisely",8-9
Year 4,Summer Term,8,Christian Religious Knowledge,"Kindness to others -- Luke 10:29-37, meaning, how to be kind, story of the good Samaritan",8-9
Year 4,Summer Term,9,Christian Religious Knowledge,"People in need of help in our community -- definition of needy, how we can help the needy around us, importance of helping people in need",8-9
Year 5,Summer Term,1,Christian Religious Knowledge,"The event of the day of Pentecost -- Act 2:1-14, John 15:7",9-10
Year 5,Summer Term,2,Christian Religious Knowledge,Holy spirit makes us faithful,9-10
Year 5,Summer Term,3,Christian Religious Knowledge,"The influence of the holy spirit in our daily lives -- 2 Timothy 1:7, how holy spirit influence our life",9-10
Year 5,Summer Term,4,Christian Religious Knowledge,The holy spirit makes us to love one another -- God loves is in us through the holy spirit,9-10
Year 5,Summer Term,5,Christian Religious Knowledge,God sent his son to demonstrate love for us,9-10
Year 5,Summer Term,6,Christian Religious Knowledge,The importance of loving one another,9-10
Year 5,Summer Term,7,Christian Religious Knowledge,The reward of work with the holy spirit,9-10
Year 5,Summer Term,8,Christian Religious Knowledge,The reward of working for God and walking with God,9-10
Year 5,Summer Term,9,Christian Religious Knowledge,The reward of the Faithful servant -- Matthew 25:14-29.,9-10
Year 1,Summer Term,1,Home Economics,"Food and fruits for health: meaning, food and fruits in our locality, reasons for eating food for energy activity",5-6
Year 1,Summer Term,2,Home Economics,Classes of food,5-6
Year 1,Summer Term,3,Home Economics,"The immune system: the ultimate body protection, pathogens as major invaders that attack the body, the castle wall",5-6
Year 1,Summer Term,4,Home Economics,"Food safety: meaning, method / ways of preserving our food, importance of food preservation",5-6
Year 1,Summer Term,5,Home Economics,"The home and its surroundings: meaning of home, tools and materials used for cleaning",5-6
Year 1,Summer Term,6,Home Economics,Practical ways of cleaning the homes and surrounding: maintenance of tools used for cleaning,5-6
Year 1,Summer Term,7,Home Economics,"Toilet: meaning, types and items found in the toilet",5-6
Year 1,Summer Term,8,Home Economics,Toilet hygiene: practical ways of cleaning the toilet,5-6
Year 1,Summer Term,9,Home Economics,"Home beautification: meaning, uses of natural and artificial flowers for beautification",5-6
Year 2,Summer Term,1,Home Economics,Beautifying our surroundings: use of ornamental plant,6-7
Year 2,Summer Term,2,Home Economics,Home furnishings practical: meaning and ways,6-7
Year 2,Summer Term,3,Home Economics,Qualities of a clean environment,6-7
Year 2,Summer Term,4,Home Economics,"Food and fruits in the locality: meaning, examples and functions",6-7
Year 2,Summer Term,5,Home Economics,"Under and over feeding: meaning, causes and effects",6-7
Year 2,Summer Term,6,Home Economics,Leftovers food: meaning and method of keeping leftovers food,6-7
Year 2,Summer Term,7,Home Economics,Communicable and non Communicable diseases,6-7
Year 2,Summer Term,8,Home Economics,Food and nutrition: practical,6-7
Year 2,Summer Term,9,Home Economics,Home cleaning: practical,6-7
Year 3,Summer Term,1,Home Economics,"Communicable and non Communicable diseases: meaning, examples, causes, effects and solutions",7-8
Year 3,Summer Term,2,Home Economics,"Immunization: meaning, types and health importance",7-8
Year 3,Summer Term,3,Home Economics,Nutritional value: meaning and composition of selected food products,7-8
Year 3,Summer Term,4,Home Economics,"Enzymes: meaning, examples and functions",7-8
Year 3,Summer Term,5,Home Economics,Nutrients deficiency diseases: meaning and examples,7-8
Year 3,Summer Term,6,Home Economics,"Cooking method: meaning, various cooking method",7-8
Year 3,Summer Term,7,Home Economics,"Cooking tools: meaning, classes and uses",7-8
Year 3,Summer Term,8,Home Economics,"Home management skills: meaning, sweeping, dusting, mopping, washing",7-8
Year 3,Summer Term,9,Home Economics,Practical,7-8
Year 4,Summer Term,1,Home Economics,Care and maintenance of clothing,8-9
Year 4,Summer Term,2,Home Economics,"Laundry: meaning, materials and tools",8-9
Year 4,Summer Term,3,Home Economics,Various rooms in the home,8-9
Year 4,Summer Term,4,Home Economics,"Food processing: meaning, processing of selected food",8-9
Year 4,Summer Term,5,Home Economics,Identification of clothing for different occasions,8-9
Year 4,Summer Term,6,Home Economics,"Household pest: meaning, examples and dangers",8-9
Year 4,Summer Term,7,Home Economics,"Personal grooming: meaning, identification and functions of each parts of the body",8-9
Year 4,Summer Term,8,Home Economics,"Personal hygiene: meaning, ways and importance",8-9
Year 4,Summer Term,9,Home Economics,Practical,8-9
Year 5,Summer Term,1,Home Economics,"Manicure and pedicure- meaning, tools and importance",9-10
Year 5,Summer Term,2,Home Economics,"Simple sewing tools and equipment: meaning of sewing, tools and equipment used in sewing",9-10
Year 5,Summer Term,3,Home Economics,Stitches,9-10
Year 5,Summer Term,4,Home Economics,Knitting and crocheting,9-10
Year 5,Summer Term,5,Home Economics,Making some relevant article: making of aprons,9-10
Year 5,Summer Term,6,Home Economics,"Pastries: making doughnuts, puff-puff, buns, meat pie, fish pie, eggroll, sausage rolls",9-10
Year 5,Summer Term,7,Home Economics,"Physical development: stages of child development, early childhood stage of development, child hood proper stage of development, adolescent stage of development",9-10
Year 5,Summer Term,8,Home Economics,"Cosmetics and deodorant: meaning, materials and importance",9-10
Year 5,Summer Term,9,Home Economics,Practical,9-10
Year 1,Summer Term,1,Vocational Studies,"Preservation of food: meaning, method and importance",5-6
Year 1,Summer Term,2,Vocational Studies,"Changing raw materials into finished product: meaning, examples of raw materials and it's finished product in a tabular forms",5-6
Year 1,Summer Term,3,Vocational Studies,"Local instruments that produces sound : meaning, examples, gathering and cutting of local instruments",5-6
Year 1,Summer Term,4,Vocational Studies,"Things found in the classroom: Meaning, examples and uses",5-6
Year 1,Summer Term,5,Vocational Studies,"Measurements: meaning, types, instruments and importance",5-6
Year 1,Summer Term,6,Vocational Studies,"Energy: meaning, types, ways of generating energy",5-6
Year 1,Summer Term,7,Vocational Studies,Energy: practical ways of generating energy and importance,5-6
Year 1,Summer Term,8,Vocational Studies,"Vocation: meaning, types and importance",5-6
Year 1,Summer Term,9,Vocational Studies,Vocational instruments,5-6
Year 2,Summer Term,1,Vocational Studies,"States of matters: liquid, solid and gas",6-7
Year 2,Summer Term,2,Vocational Studies,"Raw materials: meaning, types and importance",6-7
Year 2,Summer Term,3,Vocational Studies,Finished product,6-7
Year 2,Summer Term,4,Vocational Studies,Modern instruments that produces sound,6-7
Year 2,Summer Term,5,Vocational Studies,Plumbing: meaning and tools,6-7
Year 2,Summer Term,6,Vocational Studies,Barbing: meaning and tools,6-7
Year 2,Summer Term,7,Vocational Studies,Welding: meaning and tools,6-7
Year 2,Summer Term,8,Vocational Studies,Gathering and cutting of local instruments,6-7
Year 2,Summer Term,9,Vocational Studies,"Farming: meaning, tools and importance",6-7
Year 3,Summer Term,1,Vocational Studies,Photography: meaning and tools used in photography,7-8
Year 3,Summer Term,2,Vocational Studies,"Shoemaking: meaning and tools used in shoemaking, who is a cobbler?",7-8
Year 3,Summer Term,3,Vocational Studies,Hairdressing: meaning and tools,7-8
Year 3,Summer Term,4,Vocational Studies,Musical instruments: meaning and various types,7-8
Year 3,Summer Term,5,Vocational Studies,"Sports: meaning types, career opportunities in sports, equipment used in various sports",7-8
Year 3,Summer Term,6,Vocational Studies,"Teaching: meaning, qualities of a good teacher, teaching materials/aids",7-8
Year 3,Summer Term,7,Vocational Studies,Farming: meaning and simple farm tools,7-8
Year 3,Summer Term,8,Vocational Studies,"Banking: meaning, types of banks, terms and terminologies used in banks",7-8
Year 3,Summer Term,9,Vocational Studies,Practical: photography,7-8
Year 4,Summer Term,1,Vocational Studies,"Tailoring: meaning, tools and equipment",8-9
Year 4,Summer Term,2,Vocational Studies,Blacksmith and goldsmith: meaning and tools,8-9
Year 4,Summer Term,3,Vocational Studies,"Mining: meaning, tools and equipment",8-9
Year 4,Summer Term,4,Vocational Studies,"Journalism: meaning, requirements and importance",8-9
Year 4,Summer Term,5,Vocational Studies,Sound engineering: meaning and tools,8-9
Year 4,Summer Term,6,Vocational Studies,Viewing gadgets: meaning and various viewing gadgets,8-9
Year 4,Summer Term,7,Vocational Studies,Printing and publishing: meaning and processes,8-9
Year 4,Summer Term,8,Vocational Studies,Masonry: meaning and tools,8-9
Year 4,Summer Term,9,Vocational Studies,Practical: sound production,8-9
Year 5,Summer Term,1,Vocational Studies,Wood work and joinery,9-10
Year 5,Summer Term,2,Vocational Studies,Science tools and equipment ( laboratory),9-10
Year 5,Summer Term,3,Vocational Studies,Constructing tools and equipment ( building and road),9-10
Year 5,Summer Term,4,Vocational Studies,Basic technical skills: Computer Studies and phone repair (tools),9-10
Year 5,Summer Term,5,Vocational Studies,Software engineering,9-10
Year 5,Summer Term,6,Vocational Studies,Freelance broadcasting: meaning and forms,9-10
Year 5,Summer Term,7,Vocational Studies,Driving: meaning and skills in driving,9-10
Year 5,Summer Term,8,Vocational Studies,Mechatronics,9-10
Year 5,Summer Term,9,Vocational Studies,Practical,9-10
Year 1,Summer Term,1,Physical and Health Education,P -- fundamental dancing steps H -- road accident and causes,5-6
Year 1,Summer Term,2,Physical and Health Education,P -- dodging H - fire accident and causes,5-6
Year 1,Summer Term,3,Physical and Health Education,P -- throwing a catching of ball H -- accident at home,5-6
Year 1,Summer Term,4,Physical and Health Education,P -- bouncing a kicking of ball H -- water accident,5-6
Year 1,Summer Term,5,Physical and Health Education,P -- swimming H -- first aid and its contents,5-6
Year 1,Summer Term,6,Physical and Health Education,P- bean -- bag race H -- Qualities of a first aider,5-6
Year 1,Summer Term,7,Physical and Health Education,P- pocking of imaginary objects H- the sense,5-6
Year 1,Summer Term,8,Physical and Health Education,P- hopping in and out of hoops H- functions of parts of the body,5-6
Year 1,Summer Term,9,Physical and Health Education,P- throwing and catching H- revision,5-6
Year 2,Summer Term,1,Physical and Health Education,P- throwing and catching at chest level H- conditions conducive to sleep and rest,6-7
Year 2,Summer Term,2,Physical and Health Education,P- wheel barrow push H- what is balance diet,6-7
Year 2,Summer Term,3,Physical and Health Education,P- forward roll H- what is food hygiene,6-7
Year 2,Summer Term,4,Physical and Health Education,P- crab walk H- good way of eating,6-7
Year 2,Summer Term,5,Physical and Health Education,P- sit up with and without partners H- accident and its classification,6-7
Year 2,Summer Term,6,Physical and Health Education,P- cart wheels H- care of our food,6-7
Year 2,Summer Term,7,Physical and Health Education,P- push up H- care of the ear,6-7
Year 2,Summer Term,8,Physical and Health Education,P- kicking of balls H- safety and accident prevention,6-7
Year 2,Summer Term,9,Physical and Health Education,P-bouncing of balls H- revision,6-7
Year 3,Summer Term,1,Physical and Health Education,P- knee boxing/balancing H- road accident and causes,7-8
Year 3,Summer Term,2,Physical and Health Education,P- sit up with partner H- how we can keep our community clean,7-8
Year 3,Summer Term,3,Physical and Health Education,P- wind mill arm action H- individuals and groups effort to keep the community clean,7-8
Year 3,Summer Term,4,Physical and Health Education,P- cart wheels H- Communicable diseases and types,7-8
Year 3,Summer Term,5,Physical and Health Education,P- hop and jump H- prevention and control of communicable diseases,7-8
Year 3,Summer Term,6,Physical and Health Education,P- throwing and catching at chest level H- care of our food,7-8
Year 3,Summer Term,7,Physical and Health Education,P- head stand with support H- what we should not do,7-8
Year 3,Summer Term,8,Physical and Health Education,Head stand without support H- uses of latrine,7-8
Year 3,Summer Term,9,Physical and Health Education,P- press up H- how to keep our homes and surrounding clean,7-8
Year 4,Summer Term,1,Physical and Health Education,P- head stand with support H- care of the ear,8-9
Year 4,Summer Term,2,Physical and Health Education,Head stand with support H- part of the ear and structure,8-9
Year 4,Summer Term,3,Physical and Health Education,P- cart wheels H- smoking and its effects,8-9
Year 4,Summer Term,4,Physical and Health Education,P- forward roll H- first aid and its objectives,8-9
Year 4,Summer Term,5,Physical and Health Education,P- badminton skills- long and short service H- principles of first aid and qualities of a good aider,8-9
Year 4,Summer Term,6,Physical and Health Education,P- badminton skills- back hand service H- safety and precautionary measures against accident,8-9
Year 4,Summer Term,7,Physical and Health Education,P- table tennis- forehand service H- sports injuries and common sport injuries,8-9
Year 4,Summer Term,8,Physical and Health Education,P- table tennis- back hand service H- wounds and its types,8-9
Year 4,Summer Term,9,Physical and Health Education,P- singles and doubles in table tennis H- description of common sport injuries,8-9
Year 5,Summer Term,1,Physical and Health Education,P- dodging H- agencies and organization of health,9-10
Year 5,Summer Term,2,Physical and Health Education,P- crab walk H- professional health worker and their importance to the community,9-10
Year 5,Summer Term,3,Physical and Health Education,P- cart wheels H- safety and precautionary measures against accident,9-10
Year 5,Summer Term,4,Physical and Health Education,P- press up H- smoking and its harmful effects,9-10
Year 5,Summer Term,5,Physical and Health Education,P- sit up H- wounds and its types,9-10
Year 5,Summer Term,6,Physical and Health Education,"P- badminton skills -- long and short service, back hand, fore hand skills H -- sprain, signs and symptoms",9-10
